,category,title,body
1415,other / misc,irish,what is the difference between an irish wedding and an irish funeral? one less drunk.
1417,blond,computer,how do you tell that a blonde has been at a computer? there is lipstick on the joy stick!
1420,blond,blonde nurse,q  why does a blonde nurse carry around a red pen? a  to draw blood.
1421,yo momma,empty gas tank,yo momma is so fat that i ran out of gas trying to drive around her.
1422,blond,one-armed blonde,how do you get a one armed blonde out of a tree? wave!
1431,lightbulb,the baby lightbulb and his mother,what did the baby lightbulb say to his mother? i wuv you watts and watts!
1432,yo momma,sunglasses,"yo' mama is teeth are so yellow, her tonsils have to wear sunglasses."
1434,yo momma,craps,yo mama is so dumb she brought toilet paper to a craps game.
1436,animal,bulldog,q. what happens when you cross a bulldog with a shih tzu? a. you get bullshit.
1437,blond,mating call,what is a blonde is mating call? next!!!!!!!!
1439,yo momma,boomerang,yo mama so ugly when she threw a boomerang it never came back!
1448,yo momma,wave,"yo mama is so dumb, she drowned during the wave at the football stadium."
1451,other / misc,funny names,ben dover mike hunt phil mccrackin ajock strap anita cock ipe freely seymour buttes
1468,one liners,pessimist,borrow money from a pessimist   they do not expect it back.
1469,one liners,conscience,a clear conscience is usually the sign of a bad memory.
1470,animal,this is meant to be funny in a stupid way,where does superman is goldfish live ? in the superbowl....
1471,animal,this is meant to be funny in a stupid way again,where does batman is goldfish live ? in the bat tub!! ahahaha...
1476,animal,fly,what do you call a fly without wings? a walk.
1478,other / misc,poland,what do you call a pretty woman in poland? a tourist
1484,yo momma,"bus, train","your mom is so fat, i have to take a bus a train and a cab just to get on her good side."
1485,yo momma,conclusions,your mom is so fat she can not even jump to a conclusion.
1486,yo momma,ok!,"your mother is so fat, when she goes to a restaurant she looks at the menu and says,  ok !"
1499,puns,test-tube baby,a test tube baby has a womb with a view.
1500,puns,disbarred,if a lawyer can be disbarred can a musician be denoted or a model deposed?
1507,other / misc,dads head,your dad is bald spot is so big you could draw an h on it and call it a helicopter landing pad.
1508,other / misc,ugly,"what do you call something with 4 eyes, 3 noses, 7 ears, and 2 mouths? ugly!"
1521,children,bubblegum,why did the bubblegum cross the road? because he was stuck to the chickens leg.
1522,news / politics,mr. bush,why did president george w. bush go into a gorilla is nest in the jungle? to be with his family!
1528,men / women,2 black eyes,"what do you tell a woman with two black eyes? nothing, you already told her twice..."
1541,knock-knock,harry,knock! knock! who is there? harry. harry who? harry up and let me in!
1548,one liners,michael jackson,when is it michael jackson is bed time? when the little hand meets the big hand.
1549,one liners,mother-in-law,what do you call happiness? seeing your mother in law is photo on the back of a milk carton!
1552,insults,best come back,"if i wanted to think of a better come back, i would dig it out of your    !"
1556,blond,ice hockey,what happened to the blonde ice hockey team? they drowned in spring training.
1560,one liners,small bumps,q. what are the small bumps around a woman is' nipples for ? a. they are braille for  suck here .
1561,one liners,coffin,q. what is the difference between a woman and a coffin ? a. you come in one and go in the other.
1562,one liners,sex,q. why do women close their eyes during sex ? a. they can not stand seeing a man have a good time.
1564,one liners,blow job,q. what is the best thing about a blow job ? a. ten minutes of silence.
1565,one liners,laxative,q. how is a woman like a laxative ? a. they both irritate the shit out of you.
1566,one liners,die,q. why do husbands die before their wives ? a. they want to
1567,one liners,pms,q. what is the difference between a woman with pms and a pitbull ? a. lipstick.
1572,blond,brain cells,what do you call a blonde with 2 brain cells? pregnant.
1580,other / misc,limerick,there was an old man from purdue whose limericks stopped on line two.
1587,yo momma,hopscotch,"yo momma is so fat, she plays hopscotch like this   washington, california... "
1588,one liners,horse's favourite,what is a horse is favourite shakepearean play? rodeo and juliet
1593,yo momma,bermuda triangle,"yo moma is like the bermuda triangle, they both swallow a lot of seamen."
1594,yo momma,restaurant,"yo moma is like a fine restaurant, she only takes deliveries in the rear."
1595,yo momma,bubble gum,"yo momma is like a bubble gum machine, 5 cents a blow."
1598,other / misc,which is heavier?,"which is heavier, 20 pounds of rocks or 20 pounds of sugar? their both 20 pounds! doy!"
1599,other / misc,better to be,better to be pissed off than pissed on.
1602,other / misc,what time is it?,what time is it when an elephant sits on your fence? time to get a new fence!
1603,animal,what do you call.....,what do you call a pig who knows karate? a pork chop!
1605,insults,rhyme,"roses are red, grass is green. you have the shape of a washing machine."
1606,gross,swiss,what is brown and has holes in it? swiss shit!
1608,gross,agony,definition of agony? one armed man hanging off a cliff with itchy balls
1628,insults,you're so dumb...,"you are so dumb, you studied for a blood test!"
1630,children,children and cars,children in the back of the car cause accidents. accidents in the back of the car cause children
1650,lightbulb,jugglers,"q  how many jugglers does it take to change a lightbulb? a  one, but it takes 3 lightbulbs."
1651,one liners,penguin dance,q where do penguins go to dance? a the snowball
1652,one liners,eskimo pigs,q where do eskimo pigs live? a in a pigloo.
1654,one liners,polar bear in jungle,q what do you call a polar bear in the jungle? a lost!
1655,one liners,hippo,q a hippo is sitting on your chair....what time is it? a time to get a new chair
1656,one liners,rooster and a duck??,q  what do you get when a rooster crosses a duck? a  a bird that gets up at the quack of dawn!
1657,one liners,bad snow boots,q.why should not you wear snow boots? a.because they will melt!
1658,one liners,snow white,q. why would snow white be a good judge? a.because she is the fairest in the land.
1659,one liners,tough chicken,q.where do tough chickens come from? a.hard boiled eggs!
1660,one liners,doctor house,q.why did the house go to the doctor? a.to get a cure for his window pane!
1661,one liners,chef offspring,what did the chef name his son? stu
1662,one liners,broken tomato,how do you fix a broken tomato? with tomato paste!
1665,animal,before hunting,what does the lion say to his friends before they go out hunting for food?  let us prey. 
1667,one liners,a cat and elephant,what did the cat say to the elephant?  ......................meow! 
1678,other / misc,you're so fat,"you are so fat, when you sleep over someone is house, you sleep over someone is house!"
1679,other / misc,chicken,"you are so dumb, you tried to rip the lips off a chicken!"
1683,other / misc,daffynition 1,zebra  25 sizes bigger than an 'a' bra
1684,other / misc,russian roulette,"russian roulette, by hugo first"
1685,one liners,laziness,"the lazy boy, by yu doit"
1686,other / misc,dumb warning labels,on clothes  do not iron while wearing. on a baby carriage  do not fold while in use.
1690,one liners,new type of tea,what do soccer players drink? penaltea!
1694,religious,water,how do you get holy water? you boil the hell out of it!
1695,other / misc,daffynition 2,locomotive  a crazy reason for a crime!
1697,sports,be kind,bumper sticker  be kind to animals. hug a hockey player.
1698,animal,still horse,i found a way to make a horse stand perfectly still. place a bet on him.
1707,children,hahaha,"what do u call, a hippopotamus that dances? a hiphopanominus"
1708,children,boogie,how do you make a kleenex dance? put a little boogie in it!
1709,gross,what is the square,what is the square root of 69? ate something  8.... 
1710,one liners,ho ho ho,why does santa have 3 gardens? so he can ho ho ho.
1711,insults,nuts,"i used to think you were crazy, but now i can see your nuts"
1714,lightbulb,art directors,q  how many art directors does it take to change a lightbulb? a  does it have to be a lightbulb?
1715,one liners,fireman,why do firemen use red suspenders? to hold their pants up!!!
1716,insults,idiot!,"you are so dumb, you staple in the middle of the paper!"
